,User,Date Submitted,Country,Source URL,Device,Browser,OS,How did you hear about us?,Medium,OSGroup
298,00000000,2018-07-24 01:09:30,Indonesia,https://algorit.ma/,desktop,Firefox 61.0,Windows 7,Others - google,Others ,Windows
299,00000000,2018-07-24 04:14:09,Indonesia,https://algorit.ma/,desktop,Chrome 67.0.3396,Mac OS X 10.13.5,Friends / Family - Sam!,Friends / Family ,Mac
300,00000000,2018-07-24 12:40:47,Indonesia,https://algorit.ma/,desktop,Chrome 67.0.3396,Windows 10,Search Engine,Search Engine,Windows
301,00000000,2018-07-25 02:22:25,Indonesia,https://algorit.ma/,desktop,Chrome 67.0.3396,Windows 7,Social Media / Online Ads,Social Media / Online Ads,Windows
302,00000000,2018-07-25 07:02:06,Indonesia,https://algorit.ma/,desktop,Firefox 61.0,Windows 7,Others - workshop,Others ,Windows
303,00000000,2018-07-26 14:08:28,Indonesia,https://algorit.ma/,desktop,Chrome 43.0.2357,Windows 7,Media Publishing,Media Publishing,Windows
304,00000000,2018-07-27 17:41:28,Malaysia,https://algorit.ma/,desktop,Chrome 67.0.3396,Windows 8.1,Friends / Family - Zoe Lee,Friends / Family ,Windows
305,00000000,2018-07-28 08:57:17,Indonesia,https://algorit.ma/,desktop,Chrome 67.0.3396,Windows 10,Social Media / Online Ads,Social Media / Online Ads,Windows
306,00000000,2018-07-29 07:58:00,Indonesia,https://algorit.ma/,desktop,Firefox 39.0,Windows 7,Search Engine,Search Engine,Windows
307,00000000,2018-07-29 13:17:22,Indonesia,https://algorit.ma/,phone,Mobile Safari 11.0,iOS 11.2.5,Media Publishing,Media Publishing,iOS
308,00000000,2018-07-29 17:23:00,Indonesia,https://algorit.ma/,desktop,Firefox 61.0,Mac OS X 10.13,Search Engine,Search Engine,Mac
309,00000000,2018-07-30 10:27:38,Indonesia,https://algorit.ma/,desktop,Opera 54.0.2952,Windows 10,Others - ADSvokat.com blog,Others ,Windows
