,Date Submitted,Country,Source URL,Device,Browser,Are you a student or a professional?,Medium,OSGroup
14,2018-01-13 04:47:38,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 63.0.3239,,Social Media / Online Ads,Windows
15,2018-01-13 06:25:47,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 63.0.3239,Professional                                        ,Friends / Family ,Mac
16,2018-01-15 03:23:56,Malaysia,https://algorit.ma/data-science-academy/,desktop,Chrome 63.0.3239,Student                                        ,Search Engine,Windows
17,2018-01-15 03:26:19,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 63.0.3239,Professional                                        ,Social Media / Online Ads,Windows
18,2018-01-15 17:14:04,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 63.0.3239,,Social Media / Online Ads,Mac
19,2018-01-15 17:14:04,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 63.0.3239,Professional                                        ,Social Media / Online Ads,Mac
20,2018-01-16 14:19:39,Indonesia,https://algorit.ma/data-science-academy/,desktop,Opera 50.0.2762,Professional                                        ,Search Engine,Windows
21,2018-01-17 08:10:38,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 63.0.3239,Professional                                        ,Social Media / Online Ads,Windows
22,2018-01-19 05:14:59,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 63.0.3239,Professional                                        ,Media Publishing,Windows
23,2018-01-20 01:45:21,Indonesia,https://algorit.ma/data-science-academy/,desktop,Opera 50.0.2762,Professional                                        ,Search Engine,Windows
24,2018-01-23 13:26:12,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 63.0.3239,Professional                                        ,Media Publishing,Windows
25,2018-01-24 03:07:00,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 63.0.3239,Student                                        ,Social Media / Online Ads,Mac
26,2018-01-25 03:40:25,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 56.0.2924,Professional                                        ,Media Publishing,Windows
27,2018-01-26 05:57:46,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 63.0.3239,Professional                                        ,Media Publishing,Windows
28,2018-01-29 23:50:23,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 63.0.3239,Professional                                        ,Friends / Family ,Windows
29,2018-01-31 06:05:05,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 63.0.3239,Student                                        ,Media Publishing,Windows
30,2018-01-31 09:59:34,Indonesia,https://algorit.ma/data-science-academy/,desktop,Firefox 59.0,Student                                        ,Search Engine,Linux
31,2018-01-31 10:22:24,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 63.0.3239,Professional                                        ,Media Publishing,Windows
32,2018-02-02 08:58:26,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 63.0.3239,Professional                                        ,Social Media / Online Ads,Windows
33,2018-02-02 17:07:12,Indonesia,https://algorit.ma/data-science-academy/,phone,Mobile Safari 11.0,Professional                                        ,Search Engine,iOS
34,2018-02-06 03:11:12,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 64.0.3282,Professional                                        ,Media Publishing,Windows
35,2018-02-06 03:21:33,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 63.0.3239,Professional                                        ,Others ,Windows
36,2018-02-06 16:42:26,Indonesia,https://algorit.ma/data-science-academy/,phone,Chrome Mobile 64.0.3282,Student                                        ,Social Media / Online Ads,Android
37,2018-02-08 07:15:23,,https://algorit.ma/data-science-academy/,desktop,Chrome 63.0.3239,Professional                                        ,Media Publishing,Windows
38,2018-02-08 09:00:51,Indonesia,https://algorit.ma/data-science-academy/,desktop,Firefox 52.0,Professional                                        ,Search Engine,Windows
39,2018-02-08 14:44:32,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 63.0.3239,Student                                        ,Search Engine,Windows
40,2018-02-10 15:36:42,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 64.0.3282,Student                                        ,Social Media / Online Ads,Windows
41,2018-02-12 07:40:44,Indonesia,https://algorit.ma/data-science-academy/,desktop,Edge 16.16299,Professional                                        ,Social Media / Online Ads,Windows
42,2018-02-12 11:11:22,Indonesia,https://algorit.ma/data-science-academy/,desktop,Safari 11.0,,Social Media / Online Ads,Mac
43,2018-02-13 18:02:51,Hong Kong,https://algorit.ma/data-science-academy/,desktop,Chrome 64.0.3282,,Social Media / Online Ads,Windows
44,2018-02-13 18:02:52,Hong Kong,https://algorit.ma/data-science-academy/,desktop,Chrome 64.0.3282,Student                                        ,Social Media / Online Ads,Windows
45,2018-02-16 11:06:40,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 64.0.3282,Professional                                        ,Search Engine,Mac
46,2018-02-16 23:55:34,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 64.0.3282,Professional                                        ,Media Publishing,Windows
47,2018-02-17 06:18:20,Singapore,https://algorit.ma/data-science-academy/,desktop,Chrome 64.0.3282,Student                                        ,Search Engine,Windows
48,2018-02-17 08:07:21,Indonesia,https://algorit.ma/data-science-academy/,desktop,Safari 11.0.3,Professional                                        ,Media Publishing,Mac
49,2018-02-18 04:48:50,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 64.0.3282,Student                                        ,Social Media / Online Ads,Windows
50,2018-02-20 03:13:05,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 49.0.2623,Professional                                        ,Social Media / Online Ads,Windows
51,2018-02-20 04:03:04,Indonesia,https://algorit.ma/data-science-academy/,desktop,Safari 11.0.3,Professional                                        ,Social Media / Online Ads,Mac
52,2018-02-21 08:55:49,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 64.0.3282,Professional                                        ,Media Publishing,Windows
53,2018-02-21 15:24:41,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 63.0.3239,Professional                                        ,Social Media / Online Ads,Windows
54,2018-02-22 06:14:58,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 64.0.3282,Professional                                        ,Search Engine,Windows
55,2018-02-22 09:22:31,Indonesia,https://algorit.ma/data-science-academy/,desktop,Firefox 58.0,Professional                                        ,Social Media / Online Ads,Linux
56,2018-02-26 13:17:49,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 63.0.3239,Student                                        ,Friends / Family ,Windows
57,2018-02-27 03:59:35,Indonesia,https://algorit.ma/data-science-academy/,desktop,Firefox 58.0,Professional                                        ,Search Engine,Windows
58,2018-02-28 04:30:17,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 64.0.3282,Student                                        ,Friends / Family ,Windows
59,2018-02-28 04:55:18,Indonesia,https://algorit.ma/data-science-academy/,desktop,Firefox 53.0,Student                                        ,Friends / Family ,Windows
60,2018-02-28 11:17:26,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 64.0.3282,Student                                        ,Social Media / Online Ads,Windows
61,2018-03-04 16:31:50,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 64.0.3282,Student                                        ,Search Engine,Windows
62,2018-03-05 14:24:27,Indonesia,https://algorit.ma/data-science-academy/,desktop,Firefox 33.0,Student                                        ,Others ,Windows
63,2018-03-06 02:15:04,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 64.0.3282,Professional                                        ,Friends / Family ,Mac
64,2018-03-06 08:04:46,Indonesia,https://algorit.ma/data-science-academy/,desktop,Firefox 58.0,Professional                                        ,Social Media / Online Ads,Windows
65,2018-03-06 10:43:29,Indonesia,https://algorit.ma/data-science-academy/,desktop,Chrome 64.0.3282,Student                                        ,Search Engine,Windows
66,2018-03-07 19:53:12,Indonesia,https://algorit.ma/data-science-academy/,desktop,Firefox 58.0,Professional                                        ,Search Engine,Windows
